date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:15	499/499	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jul%202016%2002:03:11%20GMT	https://java.com/ga/im/printer.png	C:/My%20Web%20Sites/help/java.com/ga/im/printer.png;filename_=UTF-8''printer.png	(from https://java.com/en/download/help/java_crash_video_driver.xml)
14:41:16	11711/11711	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2005:09:50%20GMT	https://java.com/en/download/help/error_hotspot.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/error_hotspot.html	(from https://java.com/en/download/help/java_crash_video_driver.xml)
14:41:16	21160/21160	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Mar%202017%2018:37:38%20GMT	https://java.com/ga/images/java_stopped_working.png	C:/My%20Web%20Sites/help/java.com/ga/images/binary_stopped_working.png;filename_=UTF-8''binary_stopped_working.png	(from https://java.com/en/download/help/java_crash_video_driver.xml)
14:41:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Mar%202019%2009:11:17%20GMT	https://java.com/en/download/help/index.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/index.xml	(from https://java.com/en/download/help/java_crash_video_driver.xml)
14:41:17	37805/37805	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jul%202014%2021:24:18%20GMT	https://java.com/ga/images/liveperson_banner170x134.jpg	C:/My%20Web%20Sites/help/java.com/ga/images/liveperson_banner_2014.jpg;filename_=UTF-8''liveperson_banner_2014.jpg	(from https://java.com/en/download/help/java_crash_video_driver.xml)
14:41:19	7268/7268	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Mar%202019%2009:11:19%20GMT	https://java.com/en/download/help/en_javac:Support:Help:java_crash_video_driver.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/en_javac_Support_Help_java_crash_video_driver.xml	(from https://java.com/en/download/help/java_crash_video_driver.xml)
14:41:20	24067/24067	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:11:21%20GMT	https://java.com/en/download/help/troubleshoot_java.xml?printFriendly=true	C:/My%20Web%20Sites/help/java.com/en/download/help/troubleshoot_java118c.html	(from https://java.com/en/download/help/troubleshoot_java.xml)
14:41:21	604/604	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jun%202014%2021:55:31%20GMT	https://java.com/ga/images/alert_16.png	C:/My%20Web%20Sites/help/java.com/ga/images/alert_16.png;filename_=UTF-8''alert_16.png	(from https://java.com/en/download/help/troubleshoot_java.xml)
14:41:21	15694/15694	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2008:43:04%20GMT	https://java.com/en/download/help/uninstall_java.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/uninstall_java.html	(from https://java.com/en/download/help/troubleshoot_java.xml)
14:41:21	13805/13805	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Mar%202019%2006:14:09%20GMT	https://java.com/en/download/help/mac_uninstall_java.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/mac_uninstall_java.html	(from https://java.com/en/download/help/troubleshoot_java.xml)
14:41:22	12777/12777	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Mar%202019%2009:11:23%20GMT	https://java.com/en/download/help/error_installshield.xml	C:/My%20Web%20Sites/help/java.com/en/download/help/error_installshield.html	(from https://java.com/en/download/help/troubleshoot_java.xml)
